abbrev,canonical
UNIT,UNIT
UN,UNIT
APARTMENT,APARTMENT
APT,APARTMENT
APP,APARTMENT
FLAT,FLAT
FL,FLAT
FLT,FLAT
SUITE,SUITE
STE,SUITE
SHOP,SHOP
SH,SHOP
SHP,SHOP
VLA,VILLA
TENANCY,TENANCY
TNY,TENANCY
BUILDING,BUILDING
BLDG,BUILDING
COTTAGE,COTTAGE
CTGE,COTTAGE
DUPLEX,DUPLEX
DUP,DUPLEX
FACTORY,FACTORY
FCTY,FACTORY
HOUSE,HOUSE
HSE,HOUSE
KIOSK,KIOSK
KSK,KIOSK
MAISONETTE,MAISONETTE
MB,MAISONETTE
OFFICE,OFFICE
OFF,OFFICE
PENTHOUSE,PENTHOUSE
PTHS,PENTHOUSE
REAR,REAR
ROOM,ROOM
RM,ROOM
SHED,SHED
SITE,SITE
STUDIO,STUDIO
STU,STUDIO
TOWNHOUSE,TOWNHOUSE
TNHS,TOWNHOUSE
VILLA,VILLA
WAREHOUSE,WAREHOUSE
WHSE,WAREHOUSE
WARD,WARD
