abbrev,canonical
ACCESS,ACCESS
ACCS,ACCESS
ACRE,ACRE
AIRWALK,AIRWALK
AWLK,AIRWALK
ALLEY,ALLEY
ALLY,ALLEY
ALLEYWAY,ALLEYWAY
ALWY,ALLEYWAY
AMBLE,AMBLE
AMBL,AMBLE
ANNEX,ANNEX
APPROACH,APPROACH
APP,APPROACH
ARCADE,ARCADE
ARC,ARCADE
ARTERIAL,ARTERIAL
ARTL,ARTERIAL
ARTERY,ARTERY
ARTY,ARTERY
AVENUE,AVENUE
AV,AVENUE
BANAN,BANAN
BA,BANAN
BANK,BANK
BAY,BAY
BEACH,BEACH
BCH,BEACH
BEND,BEND
BIDI,BIDI
BOARDWALK,BOARDWALK
BWLK,BOARDWALK
BOULEVARD,BOULEVARD
BVD,BOULEVARD
BOULEVARDE,BOULEVARDE
BVDE,BOULEVARDE
BOUNDARY,BOUNDARY
BDY,BOUNDARY
BOWL,BOWL
BRACE,BRACE
BR,BRACE
BRAE,BRAE
BRANCH,BRANCH
BRAN,BRANCH
BREAK,BREAK
BRK,BREAK
BRETT,BRETT
BRET,BRETT
BRIDGE,BRIDGE
BDGE,BRIDGE
BROADWALK,BROADWALK
BRDWLK,BROADWALK
BROADWAY,BROADWAY
BDWY,BROADWAY
BROW,BROW
BULL,BULL
BUSWAY,BUSWAY
BSWY,BUSWAY
BYPASS,BYPASS
BYPA,BYPASS
BYWAY,BYWAY
BYWY,BYWAY
CAUSEWAY,CAUSEWAY
CSWY,CAUSEWAY
CENTRE,CENTRE
CTR,CENTRE
CENTREWAY,CENTREWAY
CNWY,CENTREWAY
CHASE,CHASE
CH,CHASE
CIRCLE,CIRCLE
CIR,CIRCLE
CIRCLET,CIRCLET
CLT,CIRCLET
CIRCUIT,CIRCUIT
CCT,CIRCUIT
CIRCUS,CIRCUS
CRCS,CIRCUS
CLOSE,CLOSE
CL,CLOSE
CLUSTER,CLUSTER
CLR,CLUSTER
COLONNADE,COLONNADE
CLDE,COLONNADE
COMMON,COMMON
CMMN,COMMON
COMMONS,COMMONS
CMMNS,COMMONS
CONCORD,CONCORD
CNCD,CONCORD
CONCOURSE,CONCOURSE
CON,CONCOURSE
CONNECTION,CONNECTION
CNTN,CONNECTION
CONNECTOR,CONNECTOR
CONR,CONNECTOR
COPSE,COPSE
CPS,COPSE
CORNER,CORNER
CNR,CORNER
CORSO,CORSO
CSO,CORSO
COURSE,COURSE
CRSE,COURSE
COURT,COURT
CT,COURT
COURTYARD,COURTYARD
CTYD,COURTYARD
COVE,COVE
CRESCENT,CRESCENT
CR,CRESCENT
CREST,CREST
CRST,CREST
CRIEF,CRIEF
CRF,CRIEF
CROOK,CROOK
CRK,CROOK
CROSS,CROSS
CRSS,CROSS
CROSSING,CROSSING
CRSG,CROSSING
CROSSOVER,CROSSOVER
CRVR,CROSSOVER
CRUISEWAY,CRUISEWAY
CUWY,CRUISEWAY
CUL-DE-SAC,CUL-DE-SAC
CSAC,CUL-DE-SAC
CUT,CUT
CUTTING,CUTTING
CUTT,CUTTING
DALE,DALE
DASH,DASH
DELL,DELL
DENE,DENE
DEVIATION,DEVIATION
DE,DEVIATION
DIP,DIP
DISTRIBUTOR,DISTRIBUTOR
DSTR,DISTRIBUTOR
DIVIDE,DIVIDE
DIV,DIVIDE
DOCK,DOCK
DOMAIN,DOMAIN
DOM,DOMAIN
DOWN,DOWN
DOWNS,DOWNS
DWNS,DOWNS
DRIVE,DRIVE
DR,DRIVE
DRIVEWAY,DRIVEWAY
DVWY,DRIVEWAY
EASEMENT,EASEMENT
ESMT,EASEMENT
EAST,EAST
EDGE,EDGE
ELBOW,ELBOW
ELB,ELBOW
END,END
ENTRANCE,ENTRANCE
ENT,ENTRANCE
ESPLANADE,ESPLANADE
ESP,ESPLANADE
ESTATE,ESTATE
EST,ESTATE
EXPRESSWAY,EXPRESSWAY
EXP,EXPRESSWAY
EXTENSION,EXTENSION
EXTN,EXTENSION
FAIRWAY,FAIRWAY
FAWY,FAIRWAY
FIREBREAK,FIREBREAK
FBRK,FIREBREAK
FIRELINE,FIRELINE
FLNE,FIRELINE
FIRETRACK,FIRETRACK
FTRK,FIRETRACK
FIRETRAIL,FIRETRAIL
FITR,FIRETRAIL
FLAT,FLAT
FLATS,FLATS
FLTS,FLATS
FOLLOW,FOLLOW
FOLW,FOLLOW
FOOTWAY,FOOTWAY
FTWY,FOOTWAY
FORD,FORD
FORESHORE,FORESHORE
FSHR,FORESHORE
FORK,FORK
FORMATION,FORMATION
FORM,FORMATION
